,book_id,5 star,4 star,3 star,2 star,1 star,total_review_count,ratings_count
4474,2.Harry_Potter_and_the_Order_of_the_Phoenix,1999958,785914,270879,48030,19393,56395,3124174
4504,41710.Iceberg,6183,8896,6406,1211,246,587,22942
4534,9293020-the-elephant-tree,9096,7217,5542,2578,2196,417,26629
4564,144791.Seven_Deadly_Wonders,11627,9128,4453,1354,667,1305,27229
4594,303098.Riptide_M_rderische_Flut,6013,7405,4480,830,166,778,18894
4624,256008.Lonesome_Dove,115408,41204,13914,3069,1706,10090,175301
4654,5064.World_Without_End,115943,81967,28503,5962,2142,12725,234517
4684,6605386-the-last-of-the-mohicans,26476,30998,24728,8975,4149,3084,95326
4714,294046.The_Judas_Strain,12728,12884,5100,790,242,1378,31744
4744,17212231-inferno,160479,197489,126534,34353,10116,38684,528971
4774,21787.The_Princess_Bride,451839,255199,114245,28624,17011,23990,866918
4804,382549.The_Cardinal_of_the_Kremlin,19360,21132,11233,1598,260,894,53583
4834,402093.Sh_gun,95590,49447,17777,3354,1314,5339,167482
4864,18484780-the-beast-of-cretacea,239,158,83,28,7,93,515
4894,36236124-fight-club,248535,200685,83932,18862,7093,18886,559107
4924,227463.A_Clockwork_Orange,254342,245480,123269,34894,20378,18273,678363
4954,353814.The_Charm_School,17390,12847,4995,840,231,1587,36303
4984,6440.Ivanhoe,25048,32024,25311,7245,2578,2879,92206
5014,98807.Subterranean,9281,9259,5397,1158,337,914,25432
5044,136636.Thunderhead,11154,11339,5333,812,259,1055,28897
5074,332613.One_Flew_Over_the_Cuckoo_s_Nest,310797,257587,103890,21861,8032,14215,702167
5104,29908754-the-zombie-room,10363,7215,5384,2503,2368,382,27833
5134,32807.Trojan_Odyssey,5521,7484,4570,660,134,475,18369
5164,1078076.Deep_Six,4575,7029,4798,600,80,374,17082
5194,65605.The_Magician_s_Nephew,192680,174428,107705,22255,5565,18368,502633
5224,2493.The_Time_Machine,143612,188377,125374,25320,6217,14626,488900
5254,17214.Starship_Troopers,79174,78671,44999,11011,3506,6840,217361
5284,818372.Night_Probe_,4006,5659,3980,527,85,359,14257
5314,11588.The_Shining,691683,442830,177029,40361,25417,34143,1377320
5344,43035.White_Fang,64433,65618,38396,8128,2711,5809,179286
5374,29999.The_Maltese_Falcon,31006,38089,24093,6121,2049,6010,101358
5404,34596.Treasure_of_Khan,4192,5795,3562,594,115,481,14258
5434,1381.The_Odyssey,320355,324405,244992,83414,38171,16810,1011337
5464,19668.Without_Remorse,31177,23639,10742,2110,812,1690,68480
5494,28676.American_Psycho,91366,99232,59090,22099,13678,15336,285465
5524,2373.The_Bone_Collector,76294,65477,26458,4452,2044,3436,174725
5554,2277444.The_Last_Oracle,13161,13035,5265,823,256,1004,32540
5584,32829.Journey_to_the_Center_of_the_Earth,51682,70181,50305,10508,2357,7550,185033
5614,3590.The_Adventures_of_Sherlock_Holmes,137507,103176,36499,4766,1802,8520,283750
5644,18007564-the-martian,584294,322656,92277,20926,9121,82613,1029274
5674,22034.The_Godfather,223559,117193,40363,8848,5037,11395,395000
5704,144793.Area_7,6830,6774,3272,628,138,567,17642
5734,7072316-the-mediterranean-caper,5620,7619,6196,1407,337,851,21179
5764,6792458-the-new-jim-crow,64785,28059,6298,1452,890,10167,101484
5794,25489625-between-the-world-and-me,181180,92300,27378,7301,4299,28352,312458
5824,92057.The_Autobiography_of_Malcolm_X,144305,70233,26522,6505,5510,8400,253075
5854,76401.Bury_My_Heart_at_Wounded_Knee,42494,28114,11225,2759,1800,4974,86392
5884,6493208-the-immortal-life-of-henrietta-lacks,290760,246277,106686,28227,19128,38916,691078
5914,32075671-the-hate-u-give,497143,230427,60337,11629,6272,72172,805808
5944,464260.The_Fire_Next_Time,58475,24343,5838,1081,588,7954,90325
5974,20342617-just-mercy,151669,46426,9677,2169,1407,23962,211348
6004,250792.Ain_t_I_a_Woman,8228,4412,1020,126,72,1097,13858
6034,8171378-the-warmth-of-other-suns,57106,24874,7329,2114,1318,11192,92741
6064,13214.I_Know_Why_the_Caged_Bird_Sings,255943,157728,62368,14449,8096,14714,498584
6094,318742.The_Souls_of_Black_Folk,20889,13170,5210,1036,488,2063,40793
6124,36529.Narrative_of_the_Life_of_Frederick_Douglass,50131,37751,19438,5460,3074,6098,115854
6154,43708708-white-fragility,69389,57026,19887,4855,3649,18100,154806
6184,16280.Why_Are_All_The_Black_Kids_Sitting_Together_in_the_Cafeteria_,12091,8621,2546,475,208,2003,23941
6214,635635.Women_Race_Class,16155,6548,1435,235,95,1766,24468
6244,296662.Lies_My_Teacher_Told_Me,23683,24297,13104,3564,1912,3578,66560
6274,693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian,102238,95431,42160,11848,5843,26432,257520
6304,2767.A_People_s_History_of_the_United_States,107983,66789,33323,11588,11542,6726,231225
6334,32951.Sister_Outsider,20738,8244,2190,501,227,2545,31900
6364,25898216-stamped-from-the-beginning,21877,8989,1814,433,315,4816,33428
6394,35099718-so-you-want-to-talk-about-race,61771,29429,6482,1259,841,11160,99782
6424,42603.Black_Like_Me,26604,24827,11822,2398,1044,3125,66695
6454,15796700-americanah,171904,124811,37801,7532,3067,28284,345115
6484,18478222-twelve-years-a-slave,51623,39235,15357,3620,1966,7666,111801
6514,25078.Savage_Inequalities,8671,6611,2522,450,178,798,18432
6544,250825.Race_Matters,4755,4222,1990,361,135,541,11463
6574,66933.The_Wretched_of_the_Earth,12156,7469,2993,693,290,1275,23601
6604,313110.This_Bridge_Called_My_Back,5877,2274,709,142,67,355,9069
6634,16981.Invisible_Man,61464,61348,38311,12424,5127,7571,178674
6664,29209.The_Color_of_Water,46763,44471,19906,4159,1870,6468,117169
6694,88061.Dreams_from_My_Father,76840,79749,43211,10270,9793,8508,219863
6724,546018.Roots,92756,45089,15144,2544,1279,4027,156812
6754,1842.Guns_Germs_and_Steel,154874,131134,65408,19038,11827,13286,382281
6784,12609.The_Spirit_Catches_You_and_You_Fall_Down,35339,28359,11425,2689,1169,5350,78981
6814,17346698-march,29028,16772,4710,1330,1132,5707,52972
6844,38746485-becoming,586186,254064,68061,13739,14230,64061,936280
6874,33606119-why-i-m-no-longer-talking-to-white-people-about-race,48472,31223,7688,1616,868,7631,89867
6904,40630.How_Europe_Underdeveloped_Africa,2883,1377,479,98,70,413,4907
6934,274392.Black_Skin_White_Masks,6724,4922,1954,340,116,763,14056
6964,2319745.Slavery_by_Another_Name,3647,1926,706,150,66,778,6495
6994,39020.1491,32600,29024,13809,3799,2696,4588,81928
7024,15622.Native_Son,35741,35464,17415,4750,2301,4633,95671
7054,29496076-killers-of-the-flower-moon,70399,80669,31963,5953,2260,20395,191244
7084,29780253-born-a-crime,381634,173577,39912,8546,8233,51104,611902
7114,26073085-white-rage,7714,4336,956,123,69,2206,13198
7144,100322.Assata,17287,5243,1507,343,234,1744,24614
7174,95784.The_Rape_of_Nanking,15450,14103,5057,1129,531,3039,36270
7204,355190.Orientalism,9281,8856,3483,1017,494,1372,23131
7234,529568.Black_Looks,1150,682,266,38,20,103,2156
7264,347610.King_Leopold_s_Ghost,24206,19736,7283,2052,1521,3511,54798
7294,17602.Killing_Rage,1327,837,302,49,33,175,2548
7324,34964998-when-they-call-you-a-terrorist,14354,6877,1556,271,169,3218,23227
7354,27071490-homegoing,173991,91956,23488,3839,1214,32196,294488
7384,60892.Lakota_Woman,2634,2957,1569,427,220,492,7807
7414,11337.The_Bluest_Eye,89984,84322,38306,8911,3513,14024,225036
7444,40265832-how-to-be-an-antiracist,58618,36806,9304,1926,1357,11623,108011
7474,30852.The_Woman_Warrior,7538,10978,8045,2510,845,1964,29916
7504,88362.White_Like_Me,2047,2035,865,193,83,495,5223
7534,20588662-an-indigenous-peoples-history-of-the-united-states,7527,4794,1409,269,97,2125,14096
7564,28505023-the-fire-this-time,4228,3508,807,81,43,1240,8667
7594,86312.The_Quest_for_Cosmic_Justice,1459,811,267,58,27,271,2622
7624,228630.Black_Boy,20454,19458,9252,2165,912,2209,52241
7654,197753.Custer_Died_for_Your_Sins,1427,1285,649,118,35,256,3514
7684,3047.A_Conflict_of_Visions,2020,1127,447,108,54,410,3756
7714,203899.Letter_from_the_Birmingham_Jail,5257,1140,270,42,18,660,6727
7744,265091.Race_And_Culture,404,288,103,15,9,87,819
7774,38458.Nobody_Knows_My_Name,1869,1409,370,50,12,336,3710
7804,649361.Farewell_to_Manzanar,3594,5852,4669,1260,521,1506,15896
7834,16000367-uncle-tom-s-cabin,73640,73566,51449,14767,4937,9266,218359
7864,99199.Parting_the_Waters,5495,2399,1050,304,185,504,9433
7894,31421117-tears-we-cannot-stop,4977,3711,1072,233,106,1538,10099
7924,15797509-the-inconvenient-indian,6470,6010,1816,356,125,1781,14777
7954,126151.Kaffir_Boy,6901,5546,2481,518,256,830,15702
7984,57585.In_the_Spirit_of_Crazy_Horse,1872,1414,573,122,54,206,4035
8014,433281.Racism_without_Racists,1490,1199,383,85,39,291,3196
8044,32191706-the-color-of-law,18675,11976,2589,340,96,4600,33676
8074,82751.Chinese_Cinderella,13753,13690,6757,1472,513,3143,36185
8104,14894629-the-half-has-never-been-told,2912,1484,390,86,34,806,4906
8134,22487952-march,17131,7383,1639,531,422,2623,27106
8164,133914.The_Ways_of_White_Folks,2798,1446,433,64,17,355,4758
8194,22738563-we-should-all-be-feminists,151486,81327,25759,4743,2169,26076,265484
8224,33916061-we-were-eight-years-in-power,15038,10656,2227,445,280,3337,28646
8254,79356.Pillar_of_Fire,1564,828,330,64,43,179,2829
8284,3044.The_Vision_of_the_Anointed,1550,780,267,60,39,247,2696
8314,152519.Incidents_in_the_Life_of_a_Slave_Girl,21939,17524,8449,1867,900,2966,50679
8344,583492.White_Guilt,1165,668,235,67,44,326,2179
8374,305686.How_the_Irish_Became_White,395,537,427,115,48,160,1522
8404,7648269-empire-of-the-summer-moon,21378,17234,6253,1424,701,4466,46990
8434,388974.Agents_of_Repression,178,102,45,6,3,26,334
8460,15196.Maus_I,178295,86550,31060,7853,5533,8912,309291
8490,3142153-how-does-it-feel-to-be-a-problem,510,817,399,51,27,228,1804
8520,132920.The_Possessive_Investment_in_Whiteness,399,256,122,27,13,48,817
8550,97484.The_Strange_Career_of_Jim_Crow,1311,1022,495,107,66,185,3001
8580,54218.The_Mismeasure_of_Man,3342,3157,1580,387,180,432,8646
8610,18869947-blackamoores,58,24,10,3,4,26,99
8636,163196.Conquest,752,379,151,34,27,94,1343
8666,289114.Manchild_in_the_Promised_Land,4630,2730,1090,295,176,371,8921
8696,8074907-the-thorn-of-emberlain,1360,819,210,57,90,99,2536
8726,27154427-the-wheel-of-osheim,7670,6065,1802,250,67,1027,15854
8756,26863057-age-of-myth,13881,13250,4238,748,260,3159,32377
8786,18739426-the-bands-of-mourning,60354,40882,9171,1139,394,6712,111940
8816,17570538-the-blood-mirror,21665,16385,4873,751,211,2088,43885
8846,22249640-peace-talks,18345,16266,6287,1100,252,4023,42250
8876,20753341-the-last-mortal-bond,5724,6842,2969,679,155,1114,16369
8906,18966806-morning-star,99939,48823,13448,2158,635,13352,165003
8936,15704486-calamity,30119,31174,12270,1655,221,5686,75439
8966,26030742-sharp-ends,6113,7472,2960,316,58,1373,16919
8996,23909755-city-of-blades,6058,6987,2090,260,61,1590,15456
9026,28260587-empire-of-storms,269859,89450,23752,5892,3052,32092,392005
9056,26860699-the-olympian-affair,45,24,14,6,16,9,105
9065,27411345-wrath,9470,4171,1230,221,56,1633,15148
9095,23899193-saint-s-blood,3882,3373,1174,172,44,773,8645
9125,20404905-the-spider-s-war,2165,2875,1092,159,34,480,6325
9155,25845201-the-guns-of-empire,2542,2610,642,89,24,348,5907
9185,25776210-fire-touched,24618,16959,5010,573,227,3293,47387
9215,17333174-magic-binds,21197,10020,2301,189,53,2583,33760
9245,16280689-staked,9513,8568,3059,446,100,1237,21686
9275,17927395-a-court-of-mist-and-fury,754669,188626,54006,15605,8781,91284,1021687
9305,19381626-fall-of-light,1517,1247,598,138,36,225,3536
9335,25893966-dead-man-s-steel,724,866,444,116,30,169,2180
9365,26228034-the-obelisk-gate,65230,55968,16147,2152,489,10863,139986
9395,25972177-the-waking-fire,4494,5491,2237,534,148,1075,12904
9425,22062202-marked-in-flesh,13430,9908,3656,711,262,2275,27967
9455,25494343-lady-midnight,120460,64575,21527,5007,2995,21235,214564
9485,20764879-a-gathering-of-shadows,73237,65528,21850,4486,1120,21345,166221
9515,12379094-the-city-of-mirrors,23009,19791,7654,1654,425,5295,52533
9545,25480364-dancer-s-lament,2506,1754,481,72,14,344,4827
9575,21479290-the-hanging-tree,12733,14888,4176,439,149,2246,32385
9605,25159315-chains-of-the-heretic,306,409,182,29,4,106,930
9635,25938417-children-of-earth-and-sky,2607,2722,1097,187,52,934,6665
9665,27160926-the-great-ordeal,917,883,459,115,22,181,2396
9695,23174274-glass-sword,90847,114786,78353,23520,7560,25167,315066
9725,18505747-king-of-ashes,4179,3796,1361,318,137,913,9791
9755,25103760-those-below,226,312,193,44,7,76,782
9785,12444298-feverborn,11808,8272,3767,813,245,2315,24905
9815,18961360-the-girl-who-raced-fairyland-all-the-way-home,1268,609,156,35,11,395,2079
9845,9633472-the-thousand-and-one,12,3,1,1,4,2,21
9847,22299763-crooked-kingdom,360986,127742,28753,4855,1624,59335,523960
9877,25898527-the-edge-of-worlds,1091,1365,615,86,10,310,3167
9907,25689074-stars-above,35458,33345,14568,2055,601,9976,86027
9937,32718594-successor-s-promise,1449,1709,768,170,34,232,4130
9967,25558608-a-torch-against-the-night,64509,56877,18388,3365,1065,15781,144204
9997,25383154-city-of-wonders,264,466,282,61,13,67,1086
10027,25481955-in-the-labyrinth-of-drakes,3182,2630,582,48,12,766,6454
10057,25526296-every-heart-a-doorway,26888,38695,24228,6776,2301,17789,98888
10087,20404555-league-of-dragons,3902,4315,1792,275,33,1116,10317
10117,26367085-a-plague-of-swords,2276,2059,631,90,17,245,5073
10147,25187640-truthwitch,14441,20055,10529,3178,1590,7936,49793
10177,23507511-the-mortal-tally,199,313,118,30,7,67,667
10207,25932032-dragon-hunters,101,172,97,9,3,65,382
10237,25853049-javelin-rain,154,321,221,44,9,80,749
10267,26890468-the-sorcerer-s-daughter,1064,1113,838,241,44,298,3300
10297,28815482-once-broken-faith,4605,3851,964,60,28,702,9508
10327,22567184-den-of-wolves,3303,2498,680,79,19,783,6579
10357,27209511-life-debt,2846,6302,4142,885,278,1310,14453
10387,25890355-paper-and-fire,3795,6217,2671,343,48,1564,13074
10417,28331715-it-s-all-fun-and-games,55,101,69,27,8,111,260
10447,25493815-the-dark-army,1016,881,460,97,21,185,2475
10477,26114291-ghost-talkers,1080,1870,1115,213,51,873,4329
10507,17158532-kings-rising,31941,14597,4874,1199,546,7041,53157
10537,23308084-the-rose-the-dagger,32589,34157,16075,3925,1214,10630,87960
10567,26042254-the-last-days-of-new-paris,1117,2455,2105,696,197,1131,6570
10597,25894048-the-alchemy-of-chaos,162,231,94,8,2,52,497
10627,25863014-the-silver-tide,367,308,119,16,1,108,811
10657,25746699-the-sudden-appearance-of-hope,2302,3996,3117,1028,320,1669,10763
10687,23162962-the-fall-of-the-dagger,85,113,72,9,0,30,279
10717,26811006-a-study-in-sable,827,942,623,99,15,247,2506
10747,28953541-an-import-of-intrigue,143,196,127,18,5,67,489
10777,25893822-masks-and-shadows,120,207,165,61,15,151,568
10807,22698569-the-fate-of-the-tearling,9245,14442,9895,3047,931,5140,37560
10837,17378527-the-raven-king,65735,43842,17898,4436,1532,18841,133443
10867,33022673-king-s-lament,25,29,16,9,7,27,86
10894,25943838-the-rogue-retrieval,78,122,52,13,2,88,267
10924,25759452-shadow-rites,4374,3018,883,78,17,496,8370
10954,25816801-medusa-s-web,209,481,409,134,27,212,1260
10984,27181511-ordination,293,312,168,52,14,84,839
11014,25772559-wickedly-powerful,388,436,218,33,1,110,1076
11044,25944381-cruel-crown,7906,10538,11848,3135,673,2995,34100
11074,25734207-the-last-days-of-magic,453,714,855,534,218,549,2774
11104,25543925-snakewood,214,286,238,123,77,213,938
11134,30975102,167,84,30,7,8,50,296
11164,29541940-got-luck,177,181,77,19,17,92,471
11194,26252859-the-hidden-oracle,71469,60618,26812,4803,1597,13612,165299
11224,27872519-white-trash-zombie-unchained,723,592,198,25,7,206,1545
11254,26068046-the-summer-dragon,1110,1073,472,165,45,424,2865
11284,22665494-cast-in-flight,1603,1345,430,46,10,207,3434
11314,25489159-this-census-taker,824,2357,2865,1052,256,1234,7354
11344,26067555-the-silent-army,218,343,211,72,21,60,865
11374,28418764-magic-bitter-magic-sweet,2920,3713,3325,1121,286,1258,11365
11404,27904311-the-hammer-of-thor,49570,35633,11810,1856,525,7393,99394
11434,25330014-the-winged-histories,290,254,144,42,22,178,752
11464,26038869-conspiracy-of-ravens,403,736,373,87,21,236,1620
11494,25489443-kingfisher,321,516,368,106,26,297,1337
11524,25372801-all-the-birds-in-the-sky,8805,16143,12461,4651,1673,6832,43733
11554,26020617-daybreak-rising,16,33,21,6,7,33,83
11584,29058155-harry-potter-and-the-cursed-child,248794,255114,235365,117452,79585,71299,936310
11614,26890008-the-ghostfaces,4318,2414,868,128,36,367,7764
11644,77566.Hyperion,116114,70784,29426,8674,3778,11008,228776
11674,375802.Ender_s_Game,698663,389814,151252,40338,22633,47349,1302700
11704,29579.Foundation,232758,162831,76984,19934,9738,14520,502245
11734,77565.The_Fall_of_Hyperion,52683,41307,16539,3687,1052,4389,115268
11764,51964.Old_Man_s_War,82529,70366,24487,4824,1811,11167,184017
11794,9106120-cassastar,120,146,83,50,23,96,422
11824,45252.Pandora_s_Star,22320,16927,6063,1590,671,2501,47571
11854,89187.Revelation_Space,17424,21059,10192,2610,876,2658,52161
11884,12816817-cassafire,96,84,38,12,4,59,234
11914,8855321-leviathan-wakes,112353,91764,26256,5211,2162,16293,237746
11944,21611.The_Forever_War,65050,59563,25970,5445,1873,6896,157901
11974,8935689-consider-phlebas,25364,32184,20384,5997,1745,4572,85674
12004,77711.A_Fire_Upon_the_Deep,24546,20436,9134,2441,951,2836,57508
12034,18630.The_Player_of_Games,31543,26291,8376,1467,439,3081,68116
12064,35921.On_Basilisk_Station,19019,16139,7289,1765,779,2176,44991
12094,100365.The_Mote_in_God_s_Eye,25596,25940,12881,2587,846,1986,67850
12124,13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,181059,85578,33606,8516,3866,5990,312625
12154,45245.The_Reality_Dysfunction,15428,12040,5094,1660,833,1305,35055
12184,3977.Endymion,23926,21372,8576,1803,473,1829,56150
12214,61179.Ringworld,39832,42356,25733,7022,1858,4180,116801
12244,29581.Foundation_and_Empire,83952,71895,28929,4594,1080,4615,190450
12274,112537.Rendezvous_with_Rama,60862,59860,28663,5409,1203,5158,155997
12304,44790978-matching-configurations,3091,3162,315,257,61,34,6886
12334,45244.Judas_Unchained,17439,13168,4242,803,268,1405,35920
12364,29580.Second_Foundation,81072,62714,24367,3747,1017,3823,172917
12394,30760409-the-arbitrator,3959,3845,456,357,124,54,8741
12424,61906.The_Warrior_s_Apprentice,12319,10384,3474,550,163,1576,26890
12454,12007.Use_of_Weapons,19450,16271,7301,1592,410,2096,45024
12484,1126719.House_of_Suns,11334,9914,3398,643,231,1486,25520
12514,40604754-heir-to-the-empire,34396,31474,14352,2554,625,3853,83401
12544,13328554-the-pandarus-file,3252,3035,287,303,72,25,6949
12569,70535.2001,128470,107562,47775,9782,4112,7693,297701
12599,27111181-paradox-effect,5227,4889,537,348,101,54,11102
12629,11289.The_Rise_of_Endymion,23876,17705,8079,2232,725,2017,52617
12659,218427.Gateway,16210,16404,8319,1704,581,1830,43218
12689,112292.Dauntless,9347,12467,6496,1415,420,1734,30145
12719,16690.The_Moon_Is_a_Harsh_Mistress,54784,43413,20535,4626,1675,4565,125033
12749,12013.Excession,12854,10595,4542,894,238,1267,29123
12779,866136.The_Dreaming_Void,11233,10784,3903,755,291,1003,26966
12809,7937744-surface-detail,11826,10709,3461,519,203,1150,26718
12839,216442.Dark_Force_Rising,24709,23612,10198,1492,320,1595,60331
12869,117842.The_Songs_of_Distant_Earth,4290,6208,3790,703,158,732,15149
12899,61903.Shards_of_Honour,13301,13077,6510,1393,423,2370,34704
12929,77507.Red_Mars,24767,27441,17450,5867,2127,4099,77652
12959,234501.Startide_Rising,11581,11687,6074,1437,441,794,31220
12989,17670532-cassastorm,84,46,24,4,0,39,158
13019,21534331-starshine,1163,1165,604,215,128,361,3275
13049,840278.Eon,8254,10564,6862,1684,478,870,27842
13079,12016.Look_to_Windward,10609,10631,3763,465,172,820,25640
13109,239399.The_Ghost_Brigades,25985,37961,13189,1451,370,3802,78956
13139,226004.A_Deepness_in_the_Sky,16224,10768,3758,808,291,1166,31849
13169,11.The_Hitchhiker_s_Guide_to_the_Galaxy,877399,507201,239053,68920,36471,40036,1729044
13199,88071.The_Last_Colony,19377,28269,11035,1305,280,2720,60266
13229,68483.The_Vor_Game,10832,9600,3102,396,138,953,24068
13259,16128338-ghost-in-the-machine,104,126,85,38,19,52,372
13289,216422.The_Last_Command,24520,20096,7926,1218,294,1636,54054
13319,16689.Citizen_of_the_Galaxy,5591,6184,3774,632,172,710,16353
13349,20417.Have_Space_Suit_Will_Travel,8924,11072,7655,1393,280,1066,29324
13379,61909.Mirror_Dance,10329,7898,2487,351,162,791,21227
13409,175324.Double_Star,6536,8442,5808,1059,222,894,22067
13439,15790894-fortune-s-pawn,4511,6251,3042,701,295,1840,14800
13469,89185.Chasm_City,9087,9805,3913,714,186,995,23705
13499,61346208-time-chain,539,489,129,54,33,51,1244
13529,12009.The_Algebraist,7628,8422,4060,970,351,919,21431
13559,990093.Ethan_of_Athos,3571,5989,4507,818,178,756,15063
13589,296182.Brothers_in_Arms,6789,7533,2544,283,106,665,17255
13619,8695.The_Restaurant_at_the_End_of_the_Universe,116065,104272,42140,6254,1405,7629,270136
13649,25499718-children-of-time,47936,32963,11168,2729,992,9705,95788
13679,61905.Barrayar,13295,10216,3475,521,198,1189,27705
13709,23150535-vertigo,642,542,205,28,14,115,1431
13739,11255109-the-evolutionary-void,9859,8164,2755,424,102,650,21304
13769,234489.The_Uplift_War,9538,10314,4961,960,288,447,26061
13799,57045.Downbelow_Station,4842,5431,3382,956,359,745,14970
13829,76812.Cetaganda,7291,8234,3130,320,100,783,19075
13859,29661618-just-one-damned-thing-after-another,12901,15528,8527,2673,1316,5150,40945
13889,32109569-we-are-legion-we-are-bob,39446,27659,10059,2215,791,6372,80170
13919,100366.Neutron_Star,4657,4912,2435,244,53,152,12301
13949,284658.Trading_in_Danger,4584,6239,2988,525,239,790,14575
13979,96594.Fearless,6250,9307,4542,739,163,641,21001
14009,23395680-illuminae,74119,44790,17456,5802,2915,29043,145082
14039,61900.Cordelia_s_Honor,7053,4636,1560,253,146,605,13648
14069,24100285-space-opera,3251,4369,3952,2068,968,3099,14608
14099,21955078-outpassage,117,43,38,18,6,34,222
14129,77735.The_Honor_of_the_Queen,12037,10799,4080,586,223,788,27725
14159,57043.Foreigner,3397,3431,2015,673,278,742,9794
14189,203288.The_Ship_Who_Sang,9422,8560,5526,1143,285,542,24936
14219,170448.Animal_Farm,1319563,1237686,680005,202016,103883,82770,3543153
14249,240617.Tau_Zero,3800,5265,3427,879,288,890,13659
14279,89195.The_Prefect,6962,8058,2691,416,169,780,18296
14309,23164927-the-fold,7629,12697,7006,1540,403,3172,29275
14339,18077752-acceptance,11773,21704,17566,5901,1461,5729,58405
14369,427353.The_Gap_Into_Conflict,2788,3281,2487,915,461,526,9932
14399,76740.The_Demolished_Man,10441,11772,6482,1602,481,1525,30778
14429,465904.Dragonsdawn,17187,12659,6446,1003,237,719,37532
14459,1197129.The_Pride_of_Chanur,2277,2402,1651,381,90,341,6801
14489,12287209-wool,34036,30412,12999,3555,1371,4600,82373
14519,504369.Field_of_Dishonor,8883,7877,3116,457,153,449,20486
14549,17158596-collide,31865,19924,8942,2740,1547,4874,65018
14579,16288155-the-forgotten-ones,672,946,973,410,145,641,3146
14609,17314430-wait-for-you,68158,54906,24775,5903,2596,9639,156338
14639,16222687-breathe-into-me,3155,3826,2490,693,269,612,10433
14669,16151293-running-on-empty,1823,2189,1225,300,109,637,5646
14699,17166702-true-love-story,8760,7037,3632,1183,693,2116,21305
14729,17200687-rule,41592,34879,15973,4063,1939,6126,98446
14759,16250951-moving-forward,604,757,441,134,62,249,1998
14789,16178117-the-valentine-s-arrangement,1338,2030,1529,333,115,510,5345
14819,16304482-there-is-no-light-in-darkness,6046,4832,2204,780,414,1463,14276
14849,16081272-the-edge-of-never,75788,41475,20182,6227,3432,11430,147104
14879,17182009-under-a-painted-sky,35,17,10,6,2,29,70
14908,17182066-destined-to-change,301,305,149,45,32,122,832
14938,16240560-juilliard-or-else,243,229,170,62,83,89,787
14968,16279715-connected,8706,7139,3230,997,539,2188,20611
14998,16178414-broken,467,736,602,196,81,258,2082
15028,17202452-one-week-girlfriend,17194,19876,11477,3230,1228,3400,53005
15058,17156806-rock-me-slowly,197,187,177,108,105,63,774
15088,16150885-shattered-grace,134,171,145,49,15,117,514
15118,16300116-metamorphosis,5857,3970,1794,539,385,1155,12545
15148,17167042-fighting-for-flight,11655,9094,4062,1148,593,1847,26552
15178,17185511-wreck-me,4517,3814,1916,527,283,887,11057
15208,16335098-plastic-hearts,1545,1837,1026,285,154,381,4847
15238,17185633-unbeautifully-loved,1690,1852,1061,330,158,310,5091
15268,17267122-pulse,23308,13499,6247,1661,686,3264,45401
15298,16253406-love-and-truth,162,185,179,71,42,84,639
15328,17617277-real,53773,30345,16263,5749,3524,8060,109654
15358,17258829-remember-when,5178,4611,1968,399,141,1265,12297
15388,16245911-talania,405,319,170,70,33,119,997
15418,16073738-tangled,49031,36933,19919,6205,3711,9992,115799
15448,15858248-wallbanger,81770,63747,37118,12540,6570,14911,201745
15478,16919137-haven-from-the-storm,193,210,147,50,21,113,621
15508,16113791-the-coincidence-of-callie-kayden,53028,37303,17781,4842,2145,6592,115099
15538,17157374-reasons-i-fell-for-the-funny-fat-friend,2664,2596,1660,441,194,864,7555
15568,17181920-bitter-angel,32,28,23,9,1,55,93
15598,17342022-through-the-paper-wall,20,5,1,0,0,9,26
15607,16959937-nowhere-to-run,44,45,14,8,9,37,120
15637,17316075-second-chance-boyfriend,13083,13608,7168,1554,459,2175,35872
15667,17181878-ever-enough,928,1254,617,170,78,250,3047
15697,16180856-flirting-with-magick,36,53,42,22,6,31,159
15727,15760001-on-dublin-street,89851,62241,28301,8157,4212,10457,192762
15757,17608346-leo,14390,14482,7431,2260,858,3537,39421
15787,13561164-dare-you-to,17555,14890,6940,1498,489,3751,41372
15817,17181895-strong-enough,119,134,118,82,53,40,506
15847,17204058-give-me-love,2406,2557,1222,335,167,538,6687
15877,13597733-my-sister-s-reaper,140,57,48,18,6,63,269
15907,15704001-seduction-and-snacks,23950,15012,8327,3160,1907,5865,52356
15937,16096514-crush,14684,10352,4861,1168,373,1730,31438
15967,20801851-distractions,60,50,29,8,7,57,154
15997,17189096-in-the-air,222,345,326,95,37,140,1025
16027,17156015-beauty-from-pain,26599,18479,7807,1957,848,3497,55690
16057,17285825-strictly-off-limits,74,82,39,21,5,46,221
16087,15775200-my-real-smile,27,12,8,2,4,19,53
16106,17208961-unbreakable,2659,3091,1614,413,207,839,7984
16136,17186879-with-love,89,86,71,29,6,30,281
16166,17232032-love-by-design,119,131,106,31,13,67,400
16196,13640229-creed,14979,11511,5452,1385,492,2069,33819
16226,17191386-bent,567,881,753,221,93,231,2515
16256,17204860-jet,13594,15567,7403,1341,296,2379,38201
16286,17289444-paranormal-legacy,11,4,3,0,0,5,18
16291,16042305-love-left-behind,6081,6359,3540,804,347,726,17131
16321,16256411-tormented,9,19,12,8,6,10,54
