,book_id,5 star,4 star,3 star,2 star,1 star,total_review_count,ratings_count
107184,1751336.Sweet_Sixteen_and_Never_Been_Killed,4,3,3,3,2,2,15
107186,42875939-16-words,143,117,68,10,2,72,340
107216,7557805-being-sixteen,335,283,173,39,10,133,840
107246,18778117-reporting-under-fire,20,24,10,1,0,18,55
107264,12904702-settlers-and-convicts,2,3,0,0,0,2,5
107266,3389592-john-3,162,131,76,8,2,43,379
107296,233751.Jessi_s_Secret_Language,1350,1141,1376,263,64,125,4194
107326,3292972-sweet-sixteen-and-never,5,6,1,0,0,0,12
107327,25459563-16-ways-to-break-a-heart,78,144,236,181,108,166,747
107357,51740647-grace-o-malley,172,285,319,114,41,154,931
107387,29363335-words-are-my-matter,361,580,259,38,9,246,1247
107417,962334.Sweet_16,710,706,724,259,66,152,2465
107447,15361732-16-extraordinary-asian-americans,0,0,0,0,1,0,0
107448,12942965-de-kleurrijke-wereld-van-de-voc,3,2,2,1,0,0,8
107449,28789117-hellboy-winter-special-2016,15,55,41,17,2,12,130
107461,1313987.Michael_Sweerts_1618_1664,0,2,1,0,0,0,3
107462,26701535-twelve-tomorrows-2016,22,48,54,21,2,15,147
107477,27138757-the-sixteen-burdens,43,46,16,3,3,45,111
107507,71150.The_Night_Battles,333,422,203,45,11,66,1014
107537,2419564.De_Verboden_Stad,2,1,0,0,0,0,3
107538,31310785-wilde-stories-2016,5,5,2,0,0,4,12
107542,54659803-beatrice-the-sixteenth,0,1,2,0,1,0,4
107543,4254404-christabel,219,303,246,46,8,75,822
107573,140913.Bittersweet_Sixteen,207,237,222,93,30,81,789
107603,314102.Religion_and_the_Decline_of_Magic,610,507,223,47,20,117,1407
107633,3188295-the-chronicles-of-conan-volume-16,12,13,25,4,1,10,55
107643,6620479-the-year-i-turned-sixteen,1020,681,360,110,38,207,2209
107673,732754.Queer_Sites,1,4,1,0,0,0,6
107674,2298957.Nebula_Award_Stories_Sixteen,11,15,15,1,0,2,42
107676,920432.Girl_Nearly_16,385,565,530,137,25,110,1642
107706,433364.The_European_Witch_Craze_of_the_16th_and_17th_Centuries,12,36,33,5,1,10,87
107716,29232002-sixteen-sunsets,0,6,0,2,0,6,8
107722,25315199-a-history-of-the-world-in-sixteen-shipwrecks,10,6,18,2,0,9,36
107731,2549960.16_Isn_t_Always_Sweet,326,102,52,25,7,46,512
107761,44047421-sixteenth-watch,246,331,232,45,23,187,877
107791,962219.Sweet_Sixteen,309,119,183,56,17,21,684
107812,728173.The_Reformation_of_the_Sixteenth_Century,41,73,44,13,3,31,174
107842,254921.Sixteen_Runaway_Pumpkins,43,74,117,36,1,52,271
107872,13591003-tesseracts-sixteen,11,4,2,2,0,6,19
107878,39297088-16-frames-of-the-devil-s-face,59,46,32,13,3,19,153
